player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Michael Jordan,28021,C,OHIO STATE,14,100.0,0,260,65.8,75.3,61.5,1,13,591,100.0,100.0,98.6,3,15,1,1104,1104,0,0,1104,628,628,0,0,476,0
Isaiah Prince,47019,T,OHIO STATE,14,100.0,6,260,72.2,68.4,79.7,4,18,591,100.0,100.0,97.6,18,25,3,1104,0,0,0,1104,628,628,0,1103,476,1
Malcolm Pridgeon,41421,G,OHIO STATE,14,100.0,1,260,66.8,71.9,68.5,3,11,591,100.0,100.0,98.5,11,16,2,1104,0,1104,0,1104,628,628,0,0,476,0
Cody Conway,46284,T,SYRACUSE,13,100.0,0,304,67.5,86.1,55.1,0,11,546,100.0,100.0,98.4,7,14,3,1093,0,0,1020,1093,593,593,0,73,500,0
Koda Martin,46231,T,SYRACUSE,13,100.0,0,304,71.2,70.4,70.3,3,17,546,100.0,100.0,97.4,4,24,4,1093,0,0,72,1093,593,593,0,1017,500,3
Airon Servais,41573,C,SYRACUSE,13,100.0,0,304,53.9,60.4,52.2,2,12,544,100.0,100.0,98.5,6,15,1,1087,1087,0,0,1087,591,591,0,0,496,0
Elijah Rodriguez,46835,G,TEXAS,14,100.0,0,311,66.3,75.2,60.6,4,19,557,100.0,100.0,97.4,3,26,3,1082,293,6,0,1082,580,580,781,2,502,0
Calvin Anderson,46247,T,TEXAS,14,99.9,0,311,71.3,78.4,64.9,4,15,556,99.8,99.8,97.0,7,26,7,1081,0,0,1079,1082,579,580,0,0,502,2
Jared Thomas,36609,C,NWESTERN,14,100.0,2,256,62.3,71.1,57.4,5,11,584,100.0,100.0,98.5,3,17,1,1080,1080,0,0,1080,622,622,0,0,458,0
Patrick Vahe,46039,G,TEXAS,14,100.0,2,311,55.0,65.9,51.4,2,21,554,100.0,100.0,97.6,4,25,2,1076,0,1076,0,1076,577,577,0,0,499,0
Samuel Cosmi,60114,T,TEXAS,14,100.0,0,311,79.7,82.8,74.5,3,19,545,100.0,100.0,97.4,4,25,3,1055,0,0,0,1055,567,567,0,1053,488,2
Aaron Roberts,46102,G,SYRACUSE,13,100.0,0,304,55.0,72.9,48.8,0,10,529,100.0,100.0,98.7,5,12,2,1049,0,1049,0,1049,576,576,0,0,473,0
Rashawn Slater,59971,T,NWESTERN,14,100.0,0,256,75.3,76.9,70.5,1,15,558,100.0,100.0,98.2,2,18,2,1048,0,0,0,1048,594,594,0,1048,454,0
Nathan Gilliam,25105,T,WAKE,13,100.0,1,339,61.7,70.7,58.1,4,17,491,100.0,100.0,97.0,6,25,4,1038,0,6,0,1038,511,511,36,996,527,0
Jake Benzinger,39255,T,WAKE,13,100.0,0,339,53.5,60.5,53.3,10,19,488,100.0,100.0,96.2,7,33,4,1037,0,0,978,1037,508,508,0,57,529,2
Garrett McGhin,46165,T,E CAROLINA,12,100.0,0,156,71.9,80.7,60.5,2,17,621,100.0,100.0,98.0,3,22,3,1026,0,0,53,1026,662,662,0,972,364,0
Max Scharping,46961,T,N ILLINOIS,14,100.0,0,254,82.6,89.3,73.2,0,10,489,100.0,100.0,98.8,1,11,1,1026,0,0,1013,1026,517,517,0,0,509,13
Luke Shively,24080,C,N ILLINOIS,14,100.0,0,254,67.3,72.7,64.8,1,17,489,100.0,100.0,98.0,4,19,1,1026,1026,0,0,1026,517,517,0,0,509,0
Blake Blackmar,46057,G,BAYLOR,13,100.0,0,118,65.7,87.1,58.8,1,6,579,100.0,100.0,98.9,7,10,3,1022,0,0,0,1022,611,611,1020,0,411,0
Sam Tecklenburg,47316,C,BAYLOR,13,99.9,1,118,62.1,68.2,58.4,5,19,578,99.8,99.8,97.6,5,26,2,1020,1020,0,0,1021,610,611,0,0,410,0
Patrick Lawrence,46878,T,BAYLOR,13,100.0,1,118,58.6,71.9,53.2,5,31,576,100.0,100.0,96.5,12,38,2,1015,0,0,0,1015,608,608,0,1013,407,0
Teven Jenkins,41534,T,OKLA STATE,13,100.0,0,262,78.5,78.5,77.4,1,18,547,100.0,100.0,97.9,6,21,2,1012,0,0,226,1012,584,584,0,783,428,3
Ryan Anderson,46883,C,WAKE,13,100.0,1,339,72.3,89.5,64.5,1,5,488,100.0,100.0,99.2,1,7,1,1012,883,4,0,1012,508,508,125,0,504,0
Jaxson Kirkland,60215,G,WASHINGTON,14,100.0,0,340,64.6,77.1,60.4,1,16,466,100.0,100.0,98.0,5,18,1,1011,0,0,0,1011,496,496,1011,0,515,0
Jacob Still,41563,C,ARK STATE,13,100.0,0,113,58.4,63.8,55.9,3,17,519,100.0,100.0,97.5,6,23,3,1011,1011,0,0,1011,546,546,0,0,465,0
Dustin Woodard,27124,G,MEMPHIS,14,100.0,1,218,80.3,87.4,78.9,1,8,442,100.0,100.0,98.8,4,10,1,1010,7,0,0,1010,471,471,1003,0,539,0
Lanard Bonner,21863,T,ARK STATE,13,99.9,2,113,70.0,78.9,65.1,5,6,518,99.8,99.8,98.7,7,12,1,1006,0,0,1005,1007,545,546,0,1,461,0
Drew Kyser,37099,C,MEMPHIS,14,100.0,1,218,79.4,81.3,77.9,1,11,440,100.0,100.0,98.4,5,13,1,1005,1005,0,0,1005,469,469,0,0,536,0
Dylan Parham,60953,G,MEMPHIS,14,100.0,0,218,73.7,75.9,73.7,0,15,440,100.0,100.0,97.6,9,18,3,1005,0,1005,0,1005,469,469,0,0,536,0
Paul Adams,46846,T,MISSOURI,13,100.0,3,229,64.7,63.3,64.9,2,19,471,100.0,100.0,97.1,7,24,3,1004,0,0,0,1004,504,504,0,1002,500,1
Kaleb McGary,46912,T,WASHINGTON,14,100.0,0,340,77.9,78.0,75.6,1,14,464,100.0,100.0,98.0,8,17,2,1004,0,0,0,1004,494,494,0,983,510,21
Trevon Tate,46258,T,MEMPHIS,14,100.0,1,218,81.4,83.7,78.0,1,8,437,100.0,100.0,98.5,7,11,2,995,0,0,992,995,466,466,0,2,529,0
J.R. Hensley,37017,G,HAWAII,14,100.0,3,180,73.3,85.4,77.1,3,3,632,100.0,100.0,99.4,14,7,1,994,0,994,0,994,666,666,0,0,328,0
Tre'Vour Wallace-Simms,41855,G,MISSOURI,13,100.0,0,229,66.2,78.0,61.2,2,5,464,100.0,100.0,99.2,1,7,0,991,0,0,0,991,496,496,990,0,495,0
Phil Haynes,29244,G,WAKE,13,100.0,0,339,68.3,76.7,65.4,0,11,480,100.0,100.0,98.4,3,13,2,989,0,989,0,989,500,500,0,0,489,0
Abraham Lucas,60218,T,WASH STATE,13,100.0,0,341,75.3,85.1,62.4,2,17,723,100.0,100.0,98.7,5,19,0,989,0,5,0,989,749,749,0,980,240,0
Andre Dillard,29250,T,WASH STATE,13,100.0,1,341,83.9,92.6,71.8,2,9,723,100.0,100.0,99.1,5,12,1,989,0,0,980,989,749,749,0,0,240,5
Damien Lewis,81532,G,LSU,13,100.0,2,211,77.1,82.1,76.3,1,6,450,100.0,100.0,99.0,7,8,1,987,0,0,0,987,481,481,987,0,506,0
Lloyd Cushenberry III,41924,C,LSU,13,100.0,0,211,77.1,85.6,72.1,1,6,449,100.0,100.0,99.0,0,8,1,982,982,0,0,982,480,480,0,0,502,0
John Keenoy,45568,C,W MICHIGAN,13,100.0,0,347,76.9,86.7,73.0,0,3,439,100.0,100.0,99.4,3,4,1,982,982,0,0,982,472,472,0,0,510,0
Kohl Levao,75850,T,HAWAII,14,100.0,0,180,64.4,68.4,61.4,4,17,626,100.0,100.0,97.2,3,28,7,982,212,0,0,982,661,661,0,769,321,1
Carlos Johnson,28992,T,MIDDLE TN,14,99.8,0,224,61.3,78.6,50.3,4,12,562,99.6,99.7,98.0,3,19,3,981,0,0,961,983,586,588,0,1,395,17
James O'Hagan,28134,C,BUFFALO,14,100.0,1,126,88.0,88.7,88.3,0,4,452,100.0,100.0,99.6,7,4,0,980,980,0,0,980,491,491,0,0,489,0
Josh Fannin,37205,C,MIDDLE TN,14,100.0,0,224,62.7,69.2,62.0,1,15,564,100.0,100.0,98.0,7,19,3,979,979,0,0,979,587,587,0,0,392,0
Frederick Mauigoa,41388,C,WASH STATE,13,100.0,0,341,67.8,78.0,61.1,7,15,720,100.0,100.0,98.5,2,22,0,978,971,0,0,978,746,746,0,0,232,5
Jackson Barton,46978,T,UTAH,14,100.0,0,328,69.5,84.7,59.7,0,10,477,100.0,100.0,98.7,2,11,1,978,0,0,976,978,503,503,0,0,475,0
Luke Juriga,29571,G,W MICHIGAN,13,100.0,1,347,71.6,84.2,68.0,2,5,437,100.0,100.0,99.0,3,8,1,977,0,0,0,977,470,470,977,0,507,0
Jack Anderson,60130,G,TEXAS TECH,12,100.0,1,315,70.4,82.4,67.7,1,9,583,100.0,100.0,99.0,6,11,1,976,0,0,0,976,617,617,976,0,359,0
