player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Luke Falk,46586,QB,WASH STATE,13,78.0,609,636,7.5,2.72,3,30,4.4,69.7,443,0,137,6.7,697,32,234,341,72.3,82.6,82.9,50.3,8,11,741,3,22.6,102.1,4.4,31,30,1,15,38,18,2.4,4468,7.0
Davis Webb,11842,QB,CAL,12,69.8,592,620,8.9,2.32,5,34,5.1,61.6,382,0,136,7.5,642,31,203,130,67.0,70.3,70.8,43.0,6,12,687,5,11.8,94.1,2.5,16,4,0,17,37,28,4.1,4291,6.9
Patrick Mahomes,11765,QB,TEXAS TECH,12,75.5,555,595,9.3,2.77,3,42,6.6,65.4,389,0,245,7.2,669,30,251,315,75.7,89.7,87.0,70.5,2,10,709,2,10.2,107.9,3.7,25,49,1,34,41,28,3.9,5056,8.5
Deshaun Watson,11767,QB,CLEMSON,15,76.1,552,580,9.2,2.27,13,31,5.1,66.9,388,0,162,7.6,628,32,240,140,78.9,87.3,87.2,63.8,6,17,665,0,11.1,102.1,2.9,18,30,1,8,41,20,3.0,4585,7.9
David Blough,46508,QB,PURDUE,12,68.1,479,519,9.2,2.59,6,24,4.4,56.8,295,0,177,9.5,575,31,160,273,71.3,56.0,56.5,55.2,3,21,611,5,15.8,75.5,4.9,28,28,1,30,25,27,4.4,3350,6.5
Ryan Higgins,22948,QB,LA TECH,13,74.6,469,497,9.3,2.47,12,20,3.9,66.2,329,0,134,6.0,555,21,213,208,65.8,66.3,66.8,54.4,4,8,572,3,15.7,116.8,3.8,21,36,1,11,41,20,3.5,4621,9.3
Clayton Thorson,46501,QB,NWESTERN,13,69.7,435,479,8.8,2.73,7,20,4.0,58.7,281,0,207,7.3,536,22,163,256,51.3,64.8,65.6,51.6,6,9,561,0,18.4,86.1,7.1,38,17,1,30,22,23,4.1,3179,6.6
Greg Ward,12258,QB,HOUSTON,12,73.9,449,473,8.9,2.74,5,18,3.7,67.7,320,0,166,3.6,565,12,197,182,63.7,78.5,77.2,66.6,2,13,586,2,19.9,93.7,5.8,33,52,2,15,22,19,3.2,3535,7.5
Cooper Rush,12324,QB,C MICHIGAN,13,70.8,431,465,9.8,2.65,12,28,5.7,59.8,278,0,179,8.9,524,27,160,134,40.5,78.2,76.2,64.7,6,16,552,0,21.2,85.7,7.3,38,20,1,15,23,19,3.4,3533,7.6
Brandon Silvers,46483,QB,TROY,13,71.5,438,460,7.6,2.11,7,18,3.7,63.7,293,0,86,6.4,473,20,150,318,66.1,72.9,73.3,51.8,6,12,504,2,9.3,89.7,1.7,8,5,2,7,23,12,2.4,3177,6.9
