Name,Pos,Height,Weight,40 yard,Vert,Bench,Broad,3cone,Shuttle,Pick
Aaron Banks,2,77,325,5.32,31,24,100,7.69,4.89,48
Aaron Robinson,13,71,186,4.39,37,15,123,6.89,4.29,71
Adetokunbo Ogundeji,8,76,260,4.75,32,22,120,7.17,4.64,182
Alex Leatherwood,2,77,312,4.96,34.5,0,118,0,0,17
Alijah Vera-Tucker,2,76,308,5.05,32,36,106,7.67,4.7,14
Amari Rodgers,6,69,212,4.52,33,19,121,7.07,4.31,85
Ambry Thomas,13,71,191,4.37,38,15,122,0,0,102
Amon-Ra St. Brown,6,71,197,4.51,38.5,20,127,6.88,4.17,112
Andre Cisco,13,0,0,0,0,17,0,0,0,65
Anthony Schwartz,6,72,186,4.27,32,0,123,7.13,4.25,91
Avery Williams,12,68,187,4.43,33.5,19,121,6.88,4,183
Azeez Ojulari,10,74,249,4.63,30,26,127,7.27,4.34,50
Baron Browning,11,74,245,4.58,40,23,130,6.78,4.23,105
Ben Cleveland,2,78,343,5.05,28,30,102,0,4.88,94
Benjamin St-Juste,13,75,202,4.51,34.5,11,119,6.63,3.96,74
Brady Breeze,14,71,197,4.55,38,20,120,7.05,4.22,215
Brady Christensen,2,0,0,0,34,30,124,0,0,70
Brenden Jaimes,2,77,298,0,30.5,25,112,7.5,4.51,159
Brevin Jordan,5,74,247,4.64,31,17,116,0,0,147
Caden Sterns,13,71,202,4.41,42,14,128,6.96,4.13,152
Camryn Bynum,12,72,196,4.58,34,0,129,6.99,4.1,125
Carlos Basham,8,75,274,4.64,34,20,122,7.13,4.25,61
Chauncey Golston,8,76,269,4.79,36,0,119,7.52,4.65,84
Chazz Surratt,11,74,229,4.58,31,25,0,7.02,4.16,78
Chris Evans,4,71,211,4.5,40.5,20,127,6.83,4.12,202
Chris Rumph,9,74,244,0,0,18,0,0,0,118
Christian Barmore,8,76,310,4.93,0,0,0,0,0,38
Chuba Hubbard,4,72,210,4.48,36,20,120,7.24,4.26,126
Cole Van Lanen,2,76,305,5.11,30,22,107,7.34,4.64,214
Cornell Powell,6,72,204,4.53,36.5,16,128,7.03,4.21,181
Creed Humphrey,2,76,302,5.11,33,29,112,7.5,4.49,63
Daelin Hayes,8,75,253,4.71,32.5,26,119,7.17,4.29,171
Damar Hamlin,13,72,200,4.6,35,18,118,6.93,4.4,212
